rootstock,tree_id,number,mass_g
b9,1,57,0.173
b9,2,6,0.006
b9,3,35,0.96
b9,4,9,0.49
b9,5,12,0.036
b9,6,260,0.336
b9,7,21,0.048
b9,8,7,0.051
b9,9,48,0.104
b9,10,25,0.011
m7,c1,48,0.02
m7,c2,83,0.033
m7,1,10,0.006
m7,2,0,0
m7,3,5,0.003
m7,4,10,0.003
m7,5,14,0.004
m7,6,3,0.002
m7,7,6,0.005
m7,8,5,0.002
m7,9,5,0.002
m7,10,10,0.006
g11,c1,27,0.023
g11,c2,37,0.023
g11,1,2,0.001
g11,2,0,0
g11,3,0,0
g11,4,9,0.002
g11,5,7,0.002
g11,6,0,0
g11,7,0,0
g11,8,11,0.002
g11,9,10,0.002
g11,10,0,0
g935,c1,26,0.011
g935,c2,19,0.009
g935,1,0,0
g935,2,3,0.001
g935,3,5,0.003
g935,4,0,0
g935,5,0,0
g935,6,3,0.001
g935,7,0,0
g935,8,0,0
g935,9,0,0
g935,10,11,0.002
g969,c1,,
g969,c2,,
g969,1,0,0
g969,2,2,0.003
g969,3,0,0
g969,4,0,0
g969,5,0,0
g969,6,0,0
g969,7,5,0.001
g969,8,55,0.005
g969,9,0,0
g969,10,7,0.006
emla106,c1,,
emla106,c2,,
emla106,1,20,0.006
emla106,2,5,0.006
emla106,3,21,0.005
emla106,4,7,0.002
emla106,5,0,0
emla106,6,24,0.011
emla106,7,3,0.001
emla106,8,7,0.003
emla106,9,6,0.005
emla106,10,5,0.002
g210,c1,,
g210,c2,,
g210,1,56,0.013
g210,2,95,0.026
g210,3,0,0
g210,4,0,0
g210,5,38,0.007
g210,6,0,0
g210,7,34,0.031
g210,8,0,0
g210,9,16,0.002
g210,10,25,0.006
emla111,c1,,
emla111,c2,,
emla111,1,0,0
emla111,2,27,0.003
emla111,3,39,0.011
emla111,4,5,0.003
emla111,5,0,0
emla111,6,24,0.008
emla111,7,4,0.001
emla111,8,0,0
emla111,9,149,0.058
emla111,10,0,0
g890,c1,,
g890,c2,,
g890,1,11,0.004
g890,2,7,0.002
g890,3,0,0
g890,4,52,0.018
g890,5,37,0.004
g890,6,0,0
g890,7,0,0
g890,8,2,0.001
g890,9,20,0.034
g890,10,2,0.001
b10,c1,,
b10,c2,,
b10,1,53,0.027
b10,2,114,0.034
b10,3,9,0.013
b10,4,67,0.02
b10,5,7,0.002
b10,6,113,0.023
b10,7,81,0.027
b10,8,77,0.054
b10,9,55,0.033
b10,10,10,0.025
