rootstock,tree_id,number,mass_g
b9,1,57,0.173
b9,2,6,0.006
b9,3,37,0.023
b9,4,27,0.023
b9,5,12,0.036
b9,6,83,0.033
b9,7,21,0.048
b9,8,26,0.011
b9,9,48,0.02
b9,10,25,0.011
m7,1,10,0.006
m7,2,0,0
m7,3,5,0.003
m7,4,10,0.003
m7,5,14,0.004
m7,6,3,0.002
m7,7,6,0.005
m7,8,5,0.002
m7,9,5,0.002
m7,10,10,0.006
g11,1,2,0.001
g11,2,0,0
g11,3,0,0
g11,4,9,0.002
g11,5,7,0.002
g11,6,0,0
g11,7,0,0
g11,8,10,0.002
g11,9,2,0.001
g11,10,0,0
g935,1,0,0
g935,2,3,0.001
g935,3,5,0.003
g935,4,0,0
g935,5,0,0
g935,6,3,0.001
g935,7,0,0
g935,8,0,0
g935,9,0,0
g935,10,11,0.002
