rootstock,tree_id,infection_dpi,infection,girdling_dpi,girdling,wilting_dpi,wilting,necrosis_dpi,necrosis,sclerotia_dpi,sclerotia
b9,1,5,1,6,1,19,1,20,0,17,1
b9,2,5,1,7,1,20,0,20,0,17,1
b9,3,4,1,6,1,11,1,14,1,11,1
b9,4,5,1,6,1,11,1,14,1,17,1
b9,5,5,1,6,1,11,1,15,1,17,1
b9,6,4,1,7,1,11,1,14,1,12,1
b9,7,5,1,6,1,20,0,20,0,17,1
b9,8,5,1,6,1,13,1,17,1,17,1
b9,9,6,1,7,1,13,1,19,1,17,1
b9,10,6,1,8,1,15,1,20,0,11,1
g11,c1,5,1,6,1,15,1,19,1,14,1
g11,c2,4,1,6,1,11,1,18,1,11,1
g11,1,6,1,8,1,20,0,20,0,13,1
g11,2,4,1,20,0,20,0,20,0,20,0
g11,3,5,1,6,1,20,0,20,0,20,0
g11,4,4,1,6,1,20,0,20,0,15,1
g11,5,5,1,6,1,20,0,20,0,15,1
g11,6,11,1,20,0,20,0,20,0,20,0
g11,7,4,1,6,1,20,0,20,0,20,0
g11,8,5,1,6,1,20,0,20,0,14,1
g11,9,5,1,7,1,20,0,20,0,14,1
g11,10,4,1,7,1,20,0,20,0,20,0
m7,c1,4,1,6,1,11,1,15,1,11,1
m7,c2,5,1,7,1,14,1,18,1,14,1
m7,1,4,1,6,1,20,0,20,0,11,1
m7,2,5,1,20,0,20,0,20,0,20,0
m7,3,5,1,20,0,20,0,20,0,11,1
m7,4,5,1,7,1,20,0,20,0,13,1
m7,5,4,1,6,1,20,0,20,0,11,1
m7,6,5,1,6,1,20,0,20,0,15,1
m7,7,4,1,6,1,20,0,20,0,11,1
m7,8,5,1,6,1,20,0,20,0,13,1
m7,9,12,1,18,1,20,0,20,0,19,1
m7,10,5,1,6,1,20,0,20,0,11,1
g935,c1,5,1,6,1,12,1,18,1,18,1
g935,c2,5,1,6,1,18,1,19,1,18,1
g935,1,20,0,20,0,20,0,20,0,20,0
g935,2,5,1,6,1,20,0,20,0,11,1
g935,3,5,1,7,1,20,0,20,0,11,1
g935,4,11,1,20,0,20,0,20,0,20,0
g935,5,20,0,20,0,20,0,20,0,20,0
g935,6,8,1,20,0,20,0,20,0,11,1
g935,7,20,0,20,0,20,0,20,0,20,0
g935,8,20,0,20,0,20,0,20,0,20,0
g935,9,20,0,20,0,20,0,20,0,20,0
g935,10,4,1,6,1,20,0,20,0,11,1
g969,c1,4,1,5,1,20,0,20,0,18,1
g969,c2,6,1,7,1,18,1,19,1,11,1
g969,1,20,0,20,0,20,0,20,0,20,0
g969,2,5,1,12,1,20,0,20,0,15,1
g969,3,20,0,20,0,20,0,20,0,20,0
